"Month"	"StarbucksSearches"
2004-01	23
2004-02	25
2004-03	23
2004-04	24
2004-05	24
2004-06	25
2004-07	26
2004-08	25
2004-09	26
2004-10	26
2004-11	28
2004-12	29
2005-01	26
2005-02	26
2005-03	26
2005-04	26
2005-05	26
2005-06	27
2005-07	29
2005-08	29
2005-09	28
2005-10	30
2005-11	30
2005-12	32
2006-01	30
2006-02	29
2006-03	31
2006-04	30
2006-05	29
2006-06	30
2006-07	30
2006-08	31
2006-09	31
2006-10	32
2006-11	34
2006-12	35
2007-01	33
2007-02	31
2007-03	33
2007-04	30
2007-05	30
2007-06	30
2007-07	32
2007-08	31
2007-09	31
2007-10	33
2007-11	36
2007-12	38
2008-01	35
2008-02	35
2008-03	33
2008-04	34
2008-05	34
2008-06	32
2008-07	42
2008-08	31
2008-09	31
2008-10	32
2008-11	38
2008-12	35
2009-01	34
2009-02	30
2009-03	29
2009-04	29
2009-05	28
2009-06	28
2009-07	30
2009-08	29
2009-09	30
2009-10	31
2009-11	32
2009-12	34
2010-01	32
2010-02	29
2010-03	31
2010-04	33
2010-05	33
2010-06	31
2010-07	34
2010-08	35
2010-09	36
2010-10	37
2010-11	44
2010-12	45
2011-01	47
2011-02	39
2011-03	42
2011-04	41
2011-05	43
2011-06	41
2011-07	41
2011-08	42
2011-09	44
2011-10	45
2011-11	53
2011-12	53
2012-01	48
2012-02	47
2012-03	47
2012-04	46
2012-05	49
2012-06	47
2012-07	49
2012-08	49
2012-09	54
2012-10	52
2012-11	58
2012-12	62
2013-01	52
2013-02	51
2013-03	54
2013-04	52
2013-05	58
2013-06	56
2013-07	54
2013-08	55
2013-09	59
2013-10	57
2013-11	68
2013-12	66
2014-01	57
2014-02	56
2014-03	57
2014-04	61
2014-05	65
2014-06	58
2014-07	60
2014-08	57
2014-09	60
2014-10	59
2014-11	71
2014-12	75
2015-01	61
2015-02	59
2015-03	61
2015-04	65
2015-05	69
2015-06	65
2015-07	65
2015-08	67
2015-09	68
2015-10	68
2015-11	93
2015-12	83
2016-01	69
2016-02	65
2016-03	65
2016-04	69
2016-05	74
2016-06	73
2016-07	74
2016-08	69
2016-09	72
2016-10	68
2016-11	80
2016-12	88
2017-01	74
2017-02	73
2017-03	72
2017-04	91
2017-05	81
2017-06	78
2017-07	79
2017-08	78
2017-09	79
2017-10	76
2017-11	84
2017-12	89
2018-01	76
2018-02	71
2018-03	74
2018-04	90
2018-05	80
2018-06	77
2018-07	80
2018-08	82
2018-09	82
2018-10	79
2018-11	91
2018-12	95
2019-01	80
2019-02	77
2019-03	79
2019-04	85
2019-05	100
2019-06	88
2019-07	92
2019-08	92
2019-09	92
2019-10	87
2019-11	100
